#championsleague i am cmng to watch you...all matches in hyd #feelinghappy hope #mumbaiindians comes to hyd...catch me in #southextension	joy	anticipation	trust
#mufc wages up19% in13/14 season with #dimaria #falcao #herrera #rojo and others joining where will @manutd be without #epl top 4 and #ucl?	anticipation	fear	
#sterlings getting some great experience here. i'm sure he'll learn from it and it will help for the #ucl	joy	trust	anticipation
o allah! u are the most merciful . save gaza from israel. stop all the war. let them live peacefully w/o war. ya allahh. #gazaunderattack	trust	anticipation	
obama couldn't manage obama care but he will manage isis. he couldn't manage a hot dog cart. isis needs to be eliminated not managed	anger	fear	disgust
obama has no idea what to do with isis and all americans should be outraged by this.	disgust	fear	anger
obama is addressing the nation regarding #isis today. the eve of 9/11. it's time for him to step up and show leadership.	anticipation	trust	fear
obama is committing a grave mistake by military action against isis in iraq. force is not the solution, engagement is the answer.	trust	fear	anticipation
obama is fucked either way he goes, fucking bush got us into this stupid fanatical holy war with no weapons of mass destruction  #iraq #isis	disgust	sadness	anger
obama is going to announce tonite air strikes on isis. nice of him to give thm warning. good of him to make a decision.	fear	anticipation	ambiguous
obama is laying out his isis strategy tonight.it's reported no details no cost nor a timetable will be presented..now that is a strategy????	disgust	anticipation	disgust
obama is taking action in iraq. finally. but this will only be a first step. otherwise it's a fiasco in the making. #isis	anticipation	fear	trust
oh allah be with our families in #palestine & #gaza & #syria & #iraq & #egypt & #maynamar , oh allah destroy all tyrants #gazaunderattack	trust	anticipation	anger
oh allah stay beside our brothers in #palestine ##gazaunderattack	trust	anticipation	
oh israel, please stop the violence to our beloved palestine.	fear	sadness	anticipation
oh my god- not another one! #planecrash #malaysia #ukraine #russia	surprise	sadness	fear
omg russia/ukraine wtf are you doing shooting down a passenger jet killing 295 people?????? 😡	surprise	disgust	sadness
omg! another sad news... #malaysianairline crashed in ukraine near russia...our prayers for  everyone on board .(︶︿︶)	sadness	surprise	
omg! malaysia airlines crashed in ukraine! #mh370 #malaysianairlines	surprise	sadness	
on the way to #gaza right now as news comes in of imminent large scale strike to affect north #gaza	fear	sadness	anticipation
one day our children will be study the afghanistan/iraq/iran war and the conflicts in israel & palestine. and they'll ask us for answers.	anticipation	fear	
one day we will see freedom in palestine ♡♥ #gazaunderattack #palestinelivepalestineovercomes #	anticipation	joy	trust
only a year and a half until i'm out of the danger zone for the draft. russia and ukraine, please keep your shit together until then.	anticipation	fear	disgust
outstanding paper by stiebel - clever, funny, with great powerpoint including rumsfeld, putin, sicarii, ancient phallus. #jesusandbrian	joy	trust	
over 300 dead, most of which palestinian civilians. enough is enough. #israel #palestine #hamas #gaza	sadness	anger	disgust
overnight 14 dead in gaza, 20 dead in syria, yet every news headline, & taoiseach & obama all involved in garth brooke's cancelled gig!!	disgust	sadness	anger
overwhelming hypocritical slant to the coverage of israel/palestine developments	disgust	sadness	anger
palestine is going to be a blank spot on the world map by the end of this week... tragic.	fear	sadness	anticipation
palestine is not even a fucking country!!!!! its a front, a veil, a guise...	anger	disgust	
palestine just needs to let israel invade. fuck the land, just look at how many kids are dying	anger	sadness	disgust
palestine need army ,air force for war .. in palestine not war but genocide #prayforgaza	disgust	sadness	anger
palestine/ israel should resolve their conflict already,the world is tired of this madness. #stopthewar	disgust	anticipation	sadness
pause my story. a malaysian plane was shot down by ukraine/russia????	surprise	fear	
peace to israel/palestine/middle east. talk costs nothing but breath - talk now!! about anything the fucking weathers a good start!	trust	anger	anticipation
peace will never happen between #palestine and #israel with the mutual hatred being so deeply rooted. #middleeast	sadness	disgust	trust
people are dying in gaza. childerens are dying in gaza. humanity is murdered in gaza. #gazaunderattack #cryforpalastine	sadness	disgust	anger
people in palestine are more stronger than we are because they can live in war .	trust	fear	sadness
people on #twitter who are currently justifying the killing of children should ask themselves when they lost their humanity. #israel #gaza	disgust	anger	fear
please get netanyahu off my tv...israeli teabagger #israel #palestine #mtp	anger	disgust	anticipation
really fucking pissed that violence in gaza and israel was picked up for another season	anger	sadness	disgust
reports that russia shot down the plane has putin put in a bad position	fear	disgust	anticipation
right & wrong is black & white but everybody wants to put this *grey area when it comes to israel & palestine @ifortknox @eden_eitani	anger	sadness	disgust
rockets have been sent into israel to kill people... yet the world is surprised that israel is attacking and defending itself?	surprise	anger	sadness
russia and ukraine are both going to claim the other fired upon the civilian airliner which was shot down today. christ.	anger	fear	anticipation
russia and ukraine are some trouble making country's ,due to get the whole world involved in their shit	anger	fear	anticipation
save gaza through our prayers caused we're not so strong to join the attack on israel.	sadness	trust	fear
screw #israel and #palestine. you both use terror and violence and blindly follow ancient religions. go to hell.	anger	anticipation	disgust
self-aggrandizing former king of nyc bloomberg takes flight to israel to show how safe it is to fly ... now take a trip over to palestine	anger	anticipation	disgust
seriously fuck israel and palestine. so many deaths could be avoided on both sides if everybody could handle it rationally.	anger	sadness	trust
seriously... between serial killers, israel and palestine, fuck boi kim jong un, and obama... we are shit out of luck	sadness	disgust	fear
shits gonna hit the fan #russia #ukraine #malaysianairline #war	anticipation	fear	sadness
sickening how israel are getting away with this. it's genocide.	sadness	disgust	anger
silence of muslim world over israel brutality in gaza is sickening, v shdn't expect good frm west, usa as thy only c rockets fired frm gaza!	anger	sadness	disgust
so 70% of americans want #isis destroyed. obama aka #rothschild's puppet is obliging you. thousands of syrians will die in the process	anticipation	fear	sadness
so a passenger jet gets shot out of the sky over russia/ukraine. not what ya wanna read 6 hours b4 boarding!	fear	anticipation	sadness
so good to hear someone talking sense about russia and ukraine. thank you @edwardleighmp #r4today	joy	trust	surprise
so hamas and israel blame each other for the gaza beach thing. the ukrainian army and separatists blame each other for the malaysian jet…	disgust	sadness	anger
so many countries now breaking ties with israel for what they are doing to palestine. #somuchrespect	trust	joy	
so proud of israel and my family and friends currently protecting israel with the #idf . #gazagoingdown #israel #home #love #standwithisrael	trust	joy	
so rugby league has been banned in russia by putin due to safety concerns. what a wuss!	disgust	sadness	anger
some people think that just because palestine had a lot more death than israel, it automatically makes israel the bad guy.  wrong!	disgust	anger	sadness
talk of a malaysian airlines flight crashing on the russia/ukraine border....more tragedy	sadness	fear	anger
tbh.. why isnt the world paying attention to gaza?! theyre under attack by the fucking inhumane israel!	anger	surprise	sadness
terrible news from gaza past few days. now horrid news from ukraine and #mh17. thoughts to all families.	sadness	disgust	surprise
thank god we not gonna fly over ukraine, palestine and israel airspace.	trust	joy	anticipation
thank you palestine for defending what is left of islam. inshaallah. #prayforpalestine	trust	joy	anticipation
thanks for the blessing, palestine needs blessing most dearly @maggipat @ali22arif @malakamohammed	trust	joy	anticipation
that missing malaysian plane crashed in ukraine madnessssssss	surprise	fear	sadness
the algerian national football team are set to donate their entire #worldcup prize money ($9m) to the embattled people of gaza in palestine	trust	joy	anticipation
the bbc's reporting on the murder of 3 israeli boys and the following attacks on  gaza strip and west bank is so pro-israel it's disgusting.	disgust	anger	sadness
the continuing genocide being perpetrated on the palestinian people by israel is sickening. #palestine #palestineunderattack	sadness	disgust	
